aggressive ape,3,4,-1,0,1,5,10.799999999999999
ancient ape,3,4,-1,0,1,4,12.0
angelic ape,3,3,-1,1,1,4,7.0
angry ape,3,4,-1,0,1,5,9.9
aquatic ape,3,3,-1,0,1,4,6.3
armored ape,3,5,-1,0,1,3,10.4
average ape,3,3,-1,0,1,4,7.0
awful ape,3,4,-1,-1,1,4,8.0
basic ape,3,3,-1,0,1,4,7.0
big ape,3,4,-1,0,1,4,8.0
celestial ape,3,4,1,1,1,4,8.0
crazy ape,3,5,-1,0,1,4,9.9
crippled ape,3,1,-1,0,-1,2,0.8999999999999999
cursed ape,3,3,-1,-1,1,4,7.0
dead ape,3,3,-1,0,-1,-1,0.02
demonic ape,3,4,-1,-1,1,4,8.0
earth-bound ape,3,3,-1,0,-1,4,0.0
enormous ape,3,6,-1,0,1,4,10.0
enraged ape,3,5,-1,-1,1,6,14.3
ethereal ape,3,3,1,0,1,3,4.199999999999999
evil ape,3,3,-1,-1,1,4,7.0
fast ape,3,3,-1,0,1,6,9.0
ferocious ape,3,4,-1,0,1,5,12.6
fire-breathing ape,3,4,-1,0,1,4,12.0
floating ape,3,3,1,0,1,3,6.0
flying ape,3,3,1,0,1,7,10.0
friendly ape,3,2,-1,1,-1,4,6.0
ghostly ape,3,3,1,0,1,3,4.800000000000001
giant ape,3,6,-1,0,1,4,10.0
holy ape,3,3,-1,1,1,4,7.0
huge ape,3,5,-1,0,1,4,9.0
humongous ape,3,7,-1,0,1,4,11.0
ice-covered ape,3,4,-1,0,1,3,7.700000000000001
insane ape,3,5,-1,-1,1,5,10.0
invisible ape,3,3,-1,0,1,4,7.700000000000001
kind ape,3,2,-1,1,-1,4,6.0
knoble ape,3,3,-1,1,1,4,7.0
large ape,3,4,-1,0,1,4,8.0
levitating ape,3,3,1,0,1,5,8.0
lightning ape,3,3,-1,0,1,7,10.0
little ape,3,2,-1,0,1,4,6.0
magical ape,3,3,-1,1,1,4,7.0
microscopy ape,3,0,-1,0,-1,4,4.0
mini ape,3,2,-1,0,1,4,6.0
murderous ape,3,6,-1,-1,1,5,14.3
mystical ape,3,3,-1,1,1,4,7.0
nice ape,3,2,-1,1,1,4,6.0
normal ape,3,3,-1,0,1,4,7.0
petrified ape,3,3,-1,0,-1,1,1.6
plain ape,3,3,-1,0,1,4,7.0
poisonous ape,3,3,-1,0,1,4,9.799999999999999
quick ape,3,3,-1,0,1,5,8.0
radiant ape,3,3,-1,1,1,4,7.700000000000001
raging ape,3,6,-1,-1,1,6,15.600000000000001
regular ape,3,3,-1,0,1,4,7.0
satanic ape,3,3,-1,-1,1,4,7.0
shadowy ape,3,3,-1,-1,1,4,7.0
sick ape,3,2,-1,0,1,3,3.5
sleeping ape,3,1,-1,0,-1,1,0.2
small ape,3,2,-1,0,1,4,6.0
thunderous ape,3,4,-1,0,1,5,10.799999999999999
tiny ape,3,2,-1,0,1,4,6.0
tired ape,3,2,-1,0,1,3,4.5
toy ape,3,1,-1,0,-1,3,0.4
unholy ape,3,3,-1,-1,1,4,7.0
weak ape,3,2,-1,0,-1,4,4.800000000000001
weakened ape,3,2,-1,0,1,3,4.5
winged ape,3,3,1,0,1,7,12.0
aggressive banshee,2,3,0,-1,1,7,12.0
ancient banshee,2,3,0,-1,1,6,13.5
angelic banshee,2,2,0,1,1,6,8.0
angry banshee,2,3,0,-1,1,7,11.0
aquatic banshee,2,2,-1,-1,1,6,7.2
armored banshee,2,4,0,-1,1,5,11.700000000000001
average banshee,2,2,0,-1,1,6,8.0
awful banshee,2,3,0,-1,1,6,9.0
basic banshee,2,2,0,-1,1,6,8.0
big banshee,2,3,0,-1,1,6,9.0
celestial banshee,2,3,1,1,1,6,9.0
crazy banshee,2,4,0,-1,1,6,11.0
crippled banshee,2,0,-1,-1,-1,4,1.2
cursed banshee,2,2,0,-1,1,6,8.0
dead banshee,2,2,-1,-1,-1,1,0.03
demonic banshee,2,3,0,-1,1,6,9.0
earth-bound banshee,2,2,-1,-1,-1,6,0.0
enormous banshee,2,5,0,-1,1,6,11.0
enraged banshee,2,4,0,-1,1,8,15.600000000000001
ethereal banshee,2,2,1,-1,1,5,4.8999999999999995
evil banshee,2,2,0,-1,1,6,8.0
fast banshee,2,2,0,-1,1,8,10.0
ferocious banshee,2,3,0,-1,1,7,14.0
fire-breathing banshee,2,3,0,-1,1,6,13.5
floating banshee,2,2,1,-1,1,5,7.0
flying banshee,2,2,1,-1,1,9,11.0
friendly banshee,2,1,0,1,-1,6,7.0
ghostly banshee,2,2,1,-1,1,5,5.6000000000000005
giant banshee,2,5,0,-1,1,6,11.0
holy banshee,2,2,0,1,1,6,8.0
huge banshee,2,4,0,-1,1,6,10.0
humongous banshee,2,6,0,-1,1,6,12.0
ice-covered banshee,2,3,-1,-1,1,5,8.8
insane banshee,2,4,0,-1,1,7,11.0
invisible banshee,2,2,0,-1,1,6,8.8
kind banshee,2,1,0,1,-1,6,7.0
knoble banshee,2,2,0,1,1,6,8.0
large banshee,2,3,0,-1,1,6,9.0
levitating banshee,2,2,1,-1,1,7,9.0
lightning banshee,2,2,0,-1,1,9,11.0
little banshee,2,1,0,-1,-1,6,7.0
magical banshee,2,2,0,1,1,6,8.0
microscopy banshee,2,-1,0,-1,-1,6,5.0
mini banshee,2,1,0,-1,-1,6,7.0
murderous banshee,2,5,0,-1,1,7,15.600000000000001
mystical banshee,2,2,0,1,1,6,8.0
nice banshee,2,1,0,1,-1,6,7.0
normal banshee,2,2,0,-1,1,6,8.0
petrified banshee,2,2,-1,-1,-1,3,2.0
plain banshee,2,2,0,-1,1,6,8.0
poisonous banshee,2,2,0,-1,1,6,11.2
quick banshee,2,2,0,-1,1,7,9.0
radiant banshee,2,2,0,1,1,6,8.8
raging banshee,2,5,0,-1,1,8,16.900000000000002
regular banshee,2,2,0,-1,1,6,8.0
satanic banshee,2,2,0,-1,1,6,8.0
shadowy banshee,2,2,0,-1,1,6,8.0
sick banshee,2,1,0,-1,-1,5,4.199999999999999
sleeping banshee,2,0,0,-1,-1,3,0.30000000000000004
small banshee,2,1,0,-1,-1,6,7.0
thunderous banshee,2,3,0,-1,1,7,12.0
tiny banshee,2,1,0,-1,-1,6,7.0
tired banshee,2,1,0,-1,-1,5,5.4
toy banshee,2,0,0,-1,-1,5,0.5
unholy banshee,2,2,0,-1,1,6,8.0
weak banshee,2,1,0,-1,-1,6,5.6000000000000005
weakened banshee,2,1,0,-1,-1,5,5.4
winged banshee,2,2,1,-1,1,9,13.2
aggressive basilisk,3,4,-1,-1,1,5,10.799999999999999
ancient basilisk,3,4,-1,-1,1,4,12.0
angelic basilisk,3,3,-1,1,1,4,7.0
angry basilisk,3,4,-1,-1,1,5,9.9
aquatic basilisk,3,3,-1,-1,1,4,6.3
armored basilisk,3,5,-1,-1,1,3,10.4
average basilisk,3,3,-1,-1,1,4,7.0
awful basilisk,3,4,-1,-1,1,4,8.0
basic basilisk,3,3,-1,-1,1,4,7.0
big basilisk,3,4,-1,-1,1,4,8.0
celestial basilisk,3,4,1,1,1,4,8.0
crazy basilisk,3,5,-1,-1,1,4,9.9
crippled basilisk,3,1,-1,-1,-1,2,0.8999999999999999
cursed basilisk,3,3,-1,-1,1,4,7.0
